軍職專長,專長代碼,民間工作任務用語,職業類別,職業名稱,職業代碼,轉銜理由,必須證照,建議證照
艦艇指揮官,AE11,"1.船舶運作與航行管理
  1.1負責船舶航行與操作管理。
  1.2確保運行順暢與作業執行。
  1.3維持整體運作效率。
2.安全控管與設備維護
  2.1監控航行安全與作業狀況。
  2.2管理設備維護與保養作業。
  2.3確保設備正常運行。
3.團隊管理與現場運作
  3.1分析整體營運成果。
  3.2規劃改善措施與優化方案。
  3.3持續提升組織績效表現。",01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作、決策流程與績效管理，適合擔任經營管理主管，從事營運規劃、資源整合與團隊領導等工作。,,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備航行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,21行銷/企劃/專案,專案管理主管,210301,具備航行任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，帶領團隊從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,15物流/運輸/資材,船長／大副,150208,具備航行指揮、船舶操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
艇隊指揮官,AE41,"1.船隊運作與區域管理
  1.1管理多船舶於特定區域之運作。
  1.2確保巡航與作業順暢。
  1.3提升整體運行效率。
2.作業規劃與執行推動
  2.1規劃船隊作業流程與運作方式。
  2.2推動各單位依規劃執行。
  2.3確保整體運作一致性。
3.即時調度與設備管理
  3.1掌握船舶狀態與維護情形。
  3.2進行即時調度與資源分配。
  3.3維持整體運作效能。",15物流/運輸/資材,船長／大副,150208,具備航行指揮、船舶操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
,,,01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作、決策流程與績效管理，適合擔任經營管理主管，從事營運規劃、資源整合與團隊領導等工作。,,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備航行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,21行銷/企劃/專案,專案管理主管,210301,具備航行任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，帶領團隊從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
潛艦指揮將官,AE80,"1.高風險營運統籌管理
  1.1管理高風險環境下之整體運作。
  1.2確保系統與流程穩定運行。
  1.3提升整體營運可靠度。
2.計畫規劃與執行推動
  2.1制定整體營運策略與行動方案。
  2.2推動計畫執行與落實。
  2.3確保運作方向一致。
3.系統整合與資源管理
  3.1整合人員與設備資源運用。
  3.2維持複雜系統穩定運作。
  3.3提升整體效能與運作效率。",01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作、決策流程與績效管理，適合擔任經營管理主管，從事營運規劃、資源整合與團隊領導等工作。,,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備航行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,21行銷/企劃/專案,專案管理主管,210301,具備航行任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，帶領團隊從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,22其他職類,顧問,220106,具備策略規劃、團隊領導、資源整合與危機應處能力，適合擔任企業顧問，提供營運策略諮詢及襄理重大專案工作。,,
,,,14教育/學術/研究,歷史／政治相關研究人員,140307,具備策略規劃及複雜情境下分析判斷實務經驗，熟悉國際關係、政策評估及研究流程，適合擔任歷史／政治相關研究人員，從事政策研究分析工作。,,
潛艦艦指揮官,AE82,"1.高風險現場營運管理
  1.1管理封閉或高風險環境下之現場運作。
  1.2確保各部門協同運行。
  1.3維持整體運作穩定。
2.即時決策與操作主導
  2.1於關鍵情境中進行快速判斷。
  2.2必要時直接介入現場操作。
  2.3確保整體運作不受影響。
3.作業審查與應變處理
  3.1審核作業流程與執行內容。
  3.2主導突發狀況之應變處理。
  3.3提升整體應變能力與穩定性。",01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作、決策流程與績效管理，適合擔任經營管理主管，從事營運規劃、資源整合與團隊領導等工作。,,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備航行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,21行銷/企劃/專案,專案管理主管,210301,具備航行任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，帶領團隊從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,15物流/運輸/資材,船長／大副,150208,具備航行指揮、船舶操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
潛艦艦指導官,AE83,"1.營運與部門協調管理
  1.1協調多部門運作以維持整體一致性。
  1.2確保作業流程與運行順暢。
  1.3提升組織內部整合效率。
2.訓練與運作維持
  2.1規劃與管理訓練與值勤安排。
  2.2維持組織持續運作能力。
  2.3強化整體即時應變能力。
3.決策支援與代理職能
  3.1支援高階決策與作業判斷。
  3.2承接部分管理與指揮職能。
  3.3協助維持整體營運穩定性。",15物流/運輸/資材,船長／大副,150208,具備航行指揮、船舶操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
,,,01經營/行政/總務,經營管理主管,010101,具備團隊領導、策略規劃與整體效能提升等相關實務，熟悉組織運作、決策流程與績效管理，適合擔任經營管理主管，從事營運規劃、資源整合與團隊領導等工作。,,
,,,15物流/運輸/資材,交通運輸部門主管,150201,具備航行任務規劃、跨單位資源整合及高風險環境決策判斷等實務經驗，熟悉運輸作業流程、任務管控機制與安全風險辨識評估，適合擔任交通運輸部門主管，從事交通運輸部門之決策統籌與營運管理工作。,,
,,,21行銷/企劃/專案,專案管理主管,210301,具備航行任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，帶領團隊從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
戰鬥系統指導官,AE51,"1.系統整合管理
  1.1管理多系統整合運作（感測／控制／輸出）。
  1.2確保系統間協同與穩定運行。
  1.3提升整體系統運作效率。
2.技術維護與設備管理
  2.1管理設備使用狀態與維護流程。
  2.2協調技術支援與修護作業。
  2.3確保設備效能維持最佳狀態。
3.系統效能分析與優化
  3.1分析系統運作效能與瓶頸。
  3.2提出改善與優化方案。
  3.3提升整體運作效率與穩定性。",21行銷/企劃/專案,專案管理師,210304,具備任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,15物流/運輸/資材,船長／大副,150208,具備部門指揮、系統操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
,,,07工程/研發/生技,自動控制工程師,070217,具備系統整合規劃、跨單位協調及作業參數分析判斷等實務經驗，熟悉自動控制系統運作原理、資料監控機制，適合擔任自動控制工程師，從事控制系統設計、設備調整與運轉監控等工作。,,建議取得經濟部認可之「自動化工程師」等相關證照
,,,07工程/研發/生技,RF通訊工程師,070110,具備通訊系統整合、訊號分析判斷及跨單位協調等實務經驗，熟悉無線通訊原理、訊號傳輸機制與系統運作架構，適合擔任RF通訊工程師，從事無線通訊系統設計與訊號分析工作。。,,建議取得經濟部認證之「天線設計工程師能力鑑定證書」
艦作戰指導官,AE52,"1.系統整合與營運協調
  1.1整合多系統運作流程與資訊流。
  1.2確保跨部門運作一致性。
  1.3提升整體運作效率。
2.感測與資訊整合管理
  2.1管理多來源資訊整合與彙整。
  2.2提升資訊傳輸與處理效率。
  2.3強化系統協同運作能力。
3.資訊運用與調度支援
  3.1協調資訊資源配置與使用。
  3.2支援即時資訊判讀與應用。
  3.3維持資訊運作穩定與完整。",21行銷/企劃/專案,專案管理師,210304,具備任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,15物流/運輸/資材,船長／大副,150208,具備部門指揮、系統操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
,,,07工程/研發/生技,自動控制工程師,070217,具備系統整合規劃、跨單位協調及作業參數分析判斷等實務經驗，熟悉自動控制系統運作原理、資料監控機制，適合擔任自動控制工程師，從事控制系統設計、設備調整與運轉監控等工作。,,建議取得經濟部認可之「自動化工程師」等相關證照
,,,07工程/研發/生技,RF通訊工程師,070110,具備通訊系統整合、訊號分析判斷及跨單位協調等實務經驗，熟悉無線通訊原理、訊號傳輸機制與系統運作架構，適合擔任RF通訊工程師，從事無線通訊系統設計與訊號分析工作。。,,建議取得經濟部認證之「天線設計工程師能力鑑定證書」
艦飛彈指導官,AE62,"1.高技術系統作業指揮與執行
  1.1指揮並協調專業技術團隊執行高風險、高精密系統作業任務。
  1.2確保系統作業流程符合計畫、規範與安全要求。
  1.3即時處理作業異常狀況，維持任務穩定執行。
2.系統維運、測試與可靠度管理
  2.1規劃並督導系統測試、校正與維修保養作業。
  2.2分析系統故障與運作數據，提出改善與精進建議。
  2.3確保關鍵設備維持可用率與性能穩定度。
3.技術研究、訓練與制度化管理
  3.1規劃並推動專業技術訓練，提升團隊整體技術能力。
  3.2參與系統運用與作業模式之研究與優化。
  3.3管理技術文件、作業紀錄與行政流程，確保制度化運作。",21行銷/企劃/專案,專案管理師,210304,具備任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,15物流/運輸/資材,船長／大副,150208,具備部門指揮、系統操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
,,,07工程/研發/生技,自動控制工程師,070217,具備系統整合規劃、跨單位協調及作業參數分析判斷等實務經驗，熟悉自動控制系統運作原理、資料監控機制，適合擔任自動控制工程師，從事控制系統設計、設備調整與運轉監控等工作。,,建議取得經濟部認可之「自動化工程師」等相關證照
,,,09品管/製造/環衛,品管/品保工程師,090107,具備系統運作監控、設備測試校正及跨單位協調等實務經驗，熟悉設備維護流程、品質管控機制與可靠度分析方法，適合擔任品管/品保工程師，從事設備品質管理與可靠度分析工作。,,建議取得中華民國品質學會之「品質工程師證書」(經濟部認證)
救難指導官,AE63,"1.緊急應變與營運調度
  1.1規劃緊急事件應對流程與資源配置。
  1.2統整跨單位支援與調度機制。
  1.3提升應變效率與處置速度。
2.設備管理與維運整備
  2.1管理救援與拖救設備維護流程。
  2.2確保設備即時可用與穩定運作。
  2.3規劃設備配置與補給策略。
3.現場協調與資源整合
  3.1協調多單位執行緊急應變行動。
  3.2整合人力與設備資源運用。
  3.3提升整體處置協同效率。",21行銷/企劃/專案,專案管理師,210304,具備任務規劃、資源整合與績效管理等相關實務，熟悉專案治理流程、進度控管與跨部門協調，適合擔任專案管理主管，從事專案規劃、資源配置與進度管控等工作。,,建議取得「國際專案管理師（PMP）證照」
,,,21行銷/企劃/專案,營運管理師/ERP專案師,210302,具備策略規劃與資源整合經驗，熟悉系統導入與跨部門協調，適合擔任營運管理師/ERP專案師，從事營運流程優化/系統導入規劃、跨部門整合等相關工作。,,建議取得經濟部「營運智慧分析師能力鑑定證書」
,,,15物流/運輸/資材,船長／大副,150208,具備部門指揮、系統操作與船員管理等相關實務，熟悉航行安全制度、國際海事規範與船務營運管理，適合擔任船長，從事船舶航行指揮、航行安全管理與船員調度等工作。,應取得交通部航港局核發「船長或大副適任證書」等相關證照,
,,,07工程/研發/生技,自動控制工程師,070217,具備裝備保養檢查即故障排除實務經驗，熟悉自動控制系統運作原理與參數判讀，適合擔任自動控制工程師，從事控制系統設計、設備調整與運轉監控等工作。,,建議取得經濟部認可之「自動化工程師」證照
,,,09品管/製造/環衛,廠務,090220,具備任務規劃、設備維護管理及跨單位協調等實務經驗，熟悉作業流程、設備運作機制與緊急應變處置，適合擔任廠務，從事廠務運作管理與設備維護工作。,,
